epoch,itr,loss,loss_jepa,loss_forecast,iter-time(ms),gpu-time(ms),dataload-time(ms)
epoch,itr,loss,loss_jepa,loss_forecast,iter-time(ms),gpu-time(ms),dataload-time(ms)
epoch,itr,loss,loss_jepa,loss_forecast,iter-time(ms),gpu-time(ms),dataload-time(ms)
1,0,0.95216,0.95216,0.13011,280639,213345,67220
1,1,0.95045,0.95045,0.12936,12404,12368,0
1,2,0.94602,0.94602,0.12651,7268,7239,0
1,3,0.95379,0.95379,0.12795,6914,6878,0
1,4,0.94849,0.94849,0.12235,6956,6924,0
1,5,0.94811,0.94811,0.12697,5971,5942,0
1,6,0.95007,0.95007,0.12215,12499,12461,0
1,7,0.94854,0.94854,0.12471,8735,8704,1
1,8,0.95171,0.95171,0.12855,8293,8255,0
1,9,0.94954,0.94954,0.11980,7662,7630,0
1,10,0.94937,0.94937,0.12296,6929,6897,0
1,11,0.95406,0.95406,0.12716,6087,6055,0
1,12,0.94695,0.94695,0.12202,5994,5952,0
1,13,0.95087,0.95087,0.12581,5827,5795,2
1,14,0.94968,0.94968,0.13067,7285,7254,0
1,15,0.95319,0.95319,0.13040,6970,6941,0
1,16,0.94877,0.94877,0.12557,7786,7750,0
1,17,0.95197,0.95197,0.12618,17830,17789,0
1,18,0.94674,0.94674,0.12948,5860,5828,0
1,19,0.95529,0.95529,0.12552,6938,6907,0
1,20,0.95461,0.95461,0.12963,7244,7215,0
1,21,0.95623,0.95623,0.12218,6786,6750,0
2,0,0.94929,0.94929,0.12733,50971,42782,8166
2,1,0.95820,0.95820,0.12494,6477,6443,0
2,2,0.94820,0.94820,0.12729,6013,5988,0
2,3,0.94511,0.94511,0.13266,5888,5856,2
2,4,0.94987,0.94987,0.12424,5981,5947,0
2,5,0.95286,0.95286,0.13716,5923,5883,0
2,6,0.95191,0.95191,0.12873,6818,6787,0
2,7,0.95046,0.95046,0.12945,6980,6948,0
2,8,0.94903,0.94903,0.13000,7379,7345,0
2,9,0.94979,0.94979,0.12397,6912,6886,1
2,10,0.94894,0.94894,0.13212,5462,5426,1
2,11,0.94944,0.94944,0.12169,6308,6271,0
2,12,0.94838,0.94838,0.11976,6161,6135,0
2,13,0.95391,0.95391,0.12872,7160,7125,0
2,14,0.95127,0.95127,0.13711,6722,6682,0
2,15,0.95308,0.95308,0.12499,6665,6634,0
2,16,0.95159,0.95159,0.12381,8434,8409,0
2,17,0.94600,0.94600,0.12639,5294,5257,0
2,18,0.94860,0.94860,0.12509,7084,7047,0
