epoch,itr,loss,loss_jepa,loss_forecast,iter-time(ms),gpu-time(ms),dataload-time(ms)
epoch,itr,loss,loss_jepa,loss_forecast,iter-time(ms),gpu-time(ms),dataload-time(ms)
epoch,itr,loss,loss_jepa,loss_forecast,iter-time(ms),gpu-time(ms),dataload-time(ms)
1,0,0.95192,0.95192,0.12487,279073,239819,39212
1,1,0.94739,0.94739,0.12295,12403,12366,1
1,2,0.95246,0.95246,0.12738,7268,7238,0
1,3,0.95242,0.95242,0.12811,6914,6880,3
1,4,0.95072,0.95072,0.12579,6940,6899,0
1,5,0.94708,0.94708,0.12207,5976,5944,0
1,6,0.94900,0.94900,0.12452,12509,12479,0
1,7,0.95270,0.95270,0.12857,8737,8711,0
1,8,0.94997,0.94997,0.12536,8295,8257,0
1,9,0.94751,0.94751,0.12793,7661,7631,2
1,10,0.95130,0.95130,0.12770,6920,6885,0
1,11,0.95217,0.95217,0.12718,6093,6060,3
1,12,0.94861,0.94861,0.12325,5989,5958,0
1,13,0.94646,0.94646,0.12140,5835,5802,0
1,14,0.94789,0.94789,0.12638,7285,7251,0
1,15,0.95099,0.95099,0.13003,6971,6940,0
1,16,0.95208,0.95208,0.12098,7785,7758,0
1,17,0.95006,0.95006,0.12016,17832,17795,0
1,18,0.94797,0.94797,0.12570,5860,5834,0
1,19,0.95479,0.95479,0.12449,6939,6903,0
1,20,0.95402,0.95402,0.12350,7242,7212,0
1,21,0.95280,0.95280,0.12598,6785,6751,0
2,0,0.94827,0.94827,0.12077,50975,40729,10222
2,1,0.95593,0.95593,0.12635,6455,6423,0
2,2,0.95258,0.95258,0.13039,6024,5994,0
2,3,0.95228,0.95228,0.12398,5894,5860,3
2,4,0.94855,0.94855,0.12398,5977,5948,0
2,5,0.95040,0.95040,0.12744,5930,5897,0
2,6,0.94631,0.94631,0.12791,6818,6780,0
2,7,0.95129,0.95129,0.12055,6980,6948,0
2,8,0.95221,0.95221,0.12474,7338,7306,0
2,9,0.95079,0.95079,0.12464,6942,6912,0
2,10,0.95061,0.95061,0.12550,5468,5434,2
2,11,0.94907,0.94907,0.12249,6302,6265,3
2,12,0.94348,0.94348,0.12607,6172,6143,0
2,13,0.95718,0.95718,0.13155,7157,7124,3
2,14,0.94809,0.94809,0.12593,6720,6688,0
2,15,0.94973,0.94973,0.12592,6635,6600,0
2,16,0.94789,0.94789,0.12333,8463,8432,0
2,17,0.94621,0.94621,0.12701,5302,5269,0
2,18,0.94937,0.94937,0.12823,7078,7050,0
