n_pairs,circular_var_ED,circular_var_ES,mean_angular_separation_rad,mean_angular_separation_deg,ed_vs_es_classification_acc,ed_vs_es_classification_acc_shuffled,sweep,cell
297,0.969933807849884,0.9208531379699707,0.29657450318336487,16.992467343596005,0.41075345392394247,0.49658168352086596,C1_shuffled_time,shuffled
297,0.9579532146453857,0.9216662645339966,0.3560543358325958,20.400410720541377,0.4039453069363339,0.4931348810710725,C1_shuffled_time,true
297,0.9517253637313843,0.936292827129364,0.335869163274765,19.243885524234383,0.4191995442244695,0.4829796325309784,S1_dim,d128
297,0.9621542096138,0.9368873834609985,0.34742000699043274,19.905700118957352,0.42085173052271757,0.48809286426434983,S1_dim,d256
297,0.9796009063720703,0.9499831795692444,0.32935988903045654,18.870931582342298,0.4410482837202677,0.49491525423728816,S1_dim,d32
297,0.9412809014320374,0.9225673675537109,0.32613930106163025,18.686405484177943,0.4208374875373878,0.4948297963253097,S1_dim,d512
297,0.9317006468772888,0.9205799698829651,0.32150861620903015,18.4210867858688,0.407306651474149,0.4847315197265347,S1_dim,d64
297,0.8186877965927124,0.8156449198722839,0.11675163358449936,6.6893758556496525,0.49495798319327733,0.5117647058823529,S2_lambda_u,u0000
297,0.9554793238639832,0.9298858046531677,0.3064268231391907,17.556963695477343,0.41071072496795324,0.47127189858994445,S2_lambda_u,u0010
297,0.9560393691062927,0.9455918669700623,0.3359995186328888,19.251354336091794,0.4242130750605327,0.5032331576698477,S2_lambda_u,u0100
297,0.9644328355789185,0.9348195195198059,0.36691561341285706,21.02271608601041,0.4006409343398376,0.4864121919954423,S2_lambda_u,u0500
297,0.9601233601570129,0.9403548836708069,0.35479626059532166,20.328328319135647,0.41914257228315055,0.4881071072496795,S3_forecast_loss,cos
297,0.9738143682479858,0.9289945960044861,0.3154084086418152,18.071570638113613,0.3989032901296111,0.4965389545648768,S3_forecast_loss,l1
297,0.9632375836372375,0.9183714389801025,0.28415822982788086,16.281067283046035,0.40562597920524146,0.4915111807434839,S3_forecast_loss,l1cos
297,0.9703606367111206,0.9216927289962769,0.31460756063461304,18.025685427269465,0.4140720695057684,0.5100840336134453,S4_encoder,frozen
297,0.9394667744636536,0.9900777339935303,0.22050681710243225,12.634109973832528,0.6565019228030196,0.5117789488676826,S4_encoder,ftuned
297,0.9399692416191101,0.9259636998176575,0.3168656826019287,18.155066285622432,0.4141147984617576,0.4964677396382281,S5_init,identity
297,0.970348596572876,0.9315599799156189,0.351041704416275,20.113208096131512,0.40566870816123063,0.49314912405640215,S5_init,noresidual
297,0.976514995098114,0.9365161061286926,0.3051881194114685,17.48599119981174,0.4106964819826236,0.49821962683378435,S5_init,random
297,0.9551694989204407,0.9433537721633911,0.3039667010307312,17.416009081575787,0.4056544651759009,0.5033613445378151,S6_schedule,ep150
297,0.9867401719093323,0.9395246505737305,0.32109692692756653,18.39749872757016,0.4174761429995727,0.5151402934054977,S6_schedule,ep300_cool
