n_videos,horizons.1.forecast_l1,horizons.1.forecast_cos,horizons.1.persistence_l1,horizons.1.persistence_cos,horizons.1.n,horizons.2.forecast_l1,horizons.2.forecast_cos,horizons.2.persistence_l1,horizons.2.persistence_cos,horizons.2.n,horizons.3.forecast_l1,horizons.3.forecast_cos,horizons.3.persistence_l1,horizons.3.persistence_cos,horizons.3.n,horizons.4.forecast_l1,horizons.4.forecast_cos,horizons.4.persistence_l1,horizons.4.persistence_cos,horizons.4.n,horizons.5.forecast_l1,horizons.5.forecast_cos,horizons.5.persistence_l1,horizons.5.persistence_cos,horizons.5.n,horizons.6.forecast_l1,horizons.6.forecast_cos,horizons.6.persistence_l1,horizons.6.persistence_cos,horizons.6.n,horizons.7.forecast_l1,horizons.7.forecast_cos,horizons.7.persistence_l1,horizons.7.persistence_cos,horizons.7.n,horizons.8.forecast_l1,horizons.8.forecast_cos,horizons.8.persistence_l1,horizons.8.persistence_cos,horizons.8.n,horizons.9.forecast_l1,horizons.9.forecast_cos,horizons.9.persistence_l1,horizons.9.persistence_cos,horizons.9.n,horizons.10.forecast_l1,horizons.10.forecast_cos,horizons.10.persistence_l1,horizons.10.persistence_cos,horizons.10.n,sweep,cell
200,0.02421899811597541,0.1223758129402995,0.011472891346784309,0.028548764623701574,320,0.03510572041074435,0.25435585528612137,0.012338421621825546,0.03284145593643188,120,0.04030029932036996,0.3327653855085373,0.012156594695989042,0.03232021778821945,40,0.045214955662858894,0.41768624248175784,0.012326171942825976,0.03465553604323288,29,0.048731575218530804,0.48372162649264705,0.012144423537672712,0.03337372266329252,26,0.05153332200522224,0.5389766531685988,0.01274124333091701,0.03597123175859451,24,0.05376794256947257,0.5845324938947504,0.01279627861963077,0.03637437657876448,22,0.05564758311957121,0.6250513687729835,0.013040179153904319,0.037381377816200254,20,0.05712187828289138,0.6577796133028136,0.012591894716024399,0.03453101052178277,18,0.05844247224740684,0.6882905559614301,0.012965905974851921,0.03773362562060356,16,C1_shuffled_time,shuffled
200,0.04185111011029221,0.35574839347973464,0.013534441091178451,0.039644807763397696,320,0.04566453363125523,0.42500835632284484,0.014554732424827913,0.045752624173959096,120,0.047106089908629654,0.46743163242936137,0.014302490337286144,0.04561504274606705,40,0.04998559427672419,0.5318682779525888,0.01472365173736009,0.048746291933388544,29,0.05281576413947802,0.5929678288789896,0.014635968989191147,0.04829139892871563,26,0.05571174637104074,0.654751551647981,0.015070762524070839,0.051284633576869965,24,0.057914591479030525,0.7066524929621003,0.015338159039277922,0.052291794256730514,22,0.05990673005580902,0.7546232499182224,0.01541523216292262,0.0532389372587204,20,0.06162620915306939,0.7952710522545708,0.015133177085469166,0.050875710116492376,18,0.0638817367143929,0.848349227104336,0.01583495334489271,0.05645991116762161,16,C1_shuffled_time,true
200,0.04645424238406122,0.21947526056319475,0.024911057768622413,0.06675279699265957,320,0.054678854749848446,0.29963973065217336,0.02672549117511759,0.0768725593884786,120,0.06055380702018738,0.36257256343960764,0.02570776774082333,0.07340613007545471,40,0.06899034861346771,0.4774078942578414,0.02567567470772513,0.07580972334434247,29,0.07726509267321,0.6143748978009591,0.025974069113055102,0.0752837795477647,26,0.08653469445804755,0.7654110565781593,0.02673063854066034,0.07984804113705952,24,0.09342255240136926,0.890371874821457,0.02693599716506221,0.08137009631503712,22,0.09744586423039436,0.9701541414484381,0.02698711510747671,0.08086625933647155,20,0.1004988124801053,1.019146039771537,0.02621196210384369,0.07799837324354383,18,0.10239282390102744,1.0587116979877464,0.027199297095648944,0.08464373275637627,16,S1_dim,d128
200,0.043596920964773744,0.38167521432042123,0.014285656559513882,0.04366879463195801,320,0.04763965147236983,0.45418730402986207,0.015387464105151594,0.05049889733393987,120,0.05034973546862602,0.4990550257265568,0.015176811860874296,0.05011112093925476,40,0.05407764993864914,0.5808305915059715,0.015524341114636126,0.05411674853028922,29,0.057973153029496856,0.6703467563940928,0.015693096085809745,0.053721911632097684,26,0.06141259133194884,0.7627111878246069,0.01606481894850731,0.056902567545572914,24,0.06452644091438163,0.8429323651573875,0.016012172299352558,0.056874752044677734,22,0.06666459776461124,0.9049024924635887,0.016268958756700157,0.057722118496894834,20,0.06819560958279504,0.9497401613431672,0.01595535237963001,0.05509533153639899,18,0.06938597653061152,0.9862210475839674,0.01656351372366771,0.06043587625026703,16,S1_dim,d256
200,0.07420517719583586,0.1386695995926857,0.038307218835689126,0.03996130246669054,320,0.10559454895555972,0.27044011106093724,0.04114046326527993,0.04490092595418294,120,0.1265836637467146,0.4054968774318695,0.03803734146058559,0.04001732617616653,40,0.1427760679146339,0.5377251742214992,0.03858199433006089,0.04039258792482574,29,0.15703721745656088,0.6507214365097193,0.03730820635190377,0.03761170689876263,26,0.16850963979959488,0.7411888428032398,0.039801495925833784,0.04238321632146835,24,0.17558339373631912,0.8003037104552443,0.039993508803573524,0.043476069515401665,22,0.18229987770318984,0.839270020276308,0.04032338876277208,0.044049879908561705,20,0.1863590743806627,0.8672747450570265,0.03842512901044554,0.03958993487887912,18,0.19040488824248314,0.8886736682616174,0.04024730122182518,0.04340376332402229,16,S1_dim,d32
200,0.03134504746994935,0.4055392757989466,0.010317431428120472,0.04524454083293676,320,0.03453511741633217,0.4866854486366113,0.01108465351862833,0.05200445155302683,120,0.03638482932001352,0.534963820129633,0.010756544454488903,0.0501504510641098,40,0.038733510364746225,0.6019800716433031,0.010949651180798638,0.05305151898285438,29,0.040592485752243265,0.6607072708698419,0.010959531162650539,0.0525038677912492,26,0.042226249972979225,0.7156608092288176,0.01126235614841183,0.055482931435108185,24,0.043425621803511276,0.7590000053698366,0.011291495693678206,0.05567221208052202,22,0.04438215009868145,0.7955078825354576,0.011522322450764478,0.05703366994857788,20,0.045098222585188016,0.8265395044452615,0.011190025446315607,0.05429324507713318,18,0.04597642715089023,0.8595070485025644,0.011723648378392681,0.05959346517920494,16,S1_dim,d512
200,0.06866702592233195,0.23613293431699275,0.032648854661965744,0.0567932577803731,320,0.0796660864725709,0.31117844581604004,0.03520454298704863,0.0657038485010465,120,0.08766975235193968,0.3692850679159164,0.03365718838758767,0.06264989376068116,40,0.10011556153667384,0.4763430552235965,0.03380680912784461,0.06352179420405421,29,0.11360281476607689,0.6030993243822684,0.033261372349583186,0.06099859797037565,26,0.12522773568828902,0.7296477146446705,0.03471088316291571,0.06673414011796315,24,0.13365222175012936,0.8291387605396184,0.03552920041097836,0.06835764917460355,22,0.13842682987451554,0.8960810132324696,0.035610572714358565,0.06805559992790222,20,0.1411472103661961,0.9338131410380205,0.03510098407665888,0.06704699993133545,18,0.14329240377992392,0.9548291832907125,0.03659491578582674,0.07151485607028008,16,S1_dim,d64
200,0.00028823617665238996,2.1199509501457214e-05,0.000287593884877424,2.125706523656845e-05,320,0.00031926404881232884,2.5685628255208334e-05,0.00031661335694176763,2.5283296902974447e-05,120,0.00036520193971227853,3.266185522079468e-05,0.0003438922027271474,2.8002262115478516e-05,40,0.00040456969170542115,3.83566165792531e-05,0.0003391827114432215,2.7239322662353516e-05,29,0.00045121832338806527,4.741320243248573e-05,0.0003703013286352731,3.13566281245305e-05,26,0.0004886737424385501,5.713353554407755e-05,0.00039207083379248314,3.578265508015951e-05,24,0.0005099476666972888,6.285580721768466e-05,0.00040355650840369475,3.609874031760476e-05,22,0.0005156339575478341,6.454885005950928e-05,0.0003539597302733455,2.9209256172180176e-05,20,0.0005469714661659156,7.371438874138726e-05,0.00035551725725074194,3.070963753594292e-05,18,0.0005829073106724536,7.87973403930664e-05,0.00032738540721766185,2.4635344743728638e-05,16,S2_lambda_u,u0000
200,0.021608401829143985,0.10053613483905792,0.018222269245598,0.07350746579468251,320,0.026713965840948126,0.15196684549252193,0.019059143669437617,0.08045825511217117,120,0.028358440496958792,0.16760419607162474,0.017360491422005,0.06659583896398544,40,0.030805490461402928,0.19863589467673465,0.01782564247219727,0.07033698312167463,29,0.03298046511526291,0.22751280894646278,0.016569912290343873,0.060636976590523355,26,0.03514318742478887,0.25697463750839233,0.017887554170253377,0.06949227303266525,24,0.03715666061775251,0.2858989861878482,0.018478628374974836,0.07460214874961159,22,0.03868833966553211,0.3099607080221176,0.018276178603991867,0.0723854273557663,20,0.04067616516517268,0.3430131839381324,0.017599591260982886,0.06871258881356981,18,0.04295222135260701,0.37908901646733284,0.018133509147446603,0.0720110610127449,16,S2_lambda_u,u0010
200,0.04319891818449832,0.3740347811952233,0.014296920789638535,0.04350472129881382,320,0.04671874064952135,0.4377556043366591,0.01535517533775419,0.050222287078698476,120,0.04857645723968744,0.47455128505825994,0.014954991126433014,0.04896125644445419,40,0.05157677713653137,0.5342442352196266,0.015278214267615614,0.05241771813096671,29,0.05411834155137722,0.5929223619974576,0.015312171791895078,0.05219412308472853,26,0.05661570327356458,0.6520705434183279,0.01574309143082549,0.05512402951717377,24,0.05902535993267189,0.7104931643063371,0.015996400055221537,0.05606973171234131,22,0.06127178557217121,0.7674476902931928,0.015947797847911716,0.05620794594287872,20,0.06317946294115649,0.8186586660643419,0.015545789980226092,0.054048518339792885,18,0.06487938552163541,0.8656911096186377,0.016339647641871125,0.05904047563672066,16,S2_lambda_u,u0100
