n_videos,n_states,intrinsic_dim_twonn,loop_closure_mean,loop_closure_median,sweep,cell
751,1908,3.130821443165497,0.7475472512364367,0.7798350884212404,C1_shuffled_time,shuffled
751,1908,2.995045463353663,0.7467773128179469,0.7901606641676224,C1_shuffled_time,true
751,1908,2.9693494617271643,0.7481823274601237,0.7941324199374771,S1_dim,d128
751,1908,3.0323230099990353,0.7564929112571283,0.8136035584988803,S1_dim,d256
751,1908,3.03037313443238,0.7197466638143949,0.7386887665836754,S1_dim,d32
751,1908,3.102239802423242,0.7538239902800731,0.8098220619085709,S1_dim,d512
751,1908,2.8940907369007296,0.7499598214899083,0.7942832577962833,S1_dim,d64
751,1908,6.095988040479301,0.5451567507107867,0.5793357933579336,S2_lambda_u,u0000
751,1908,2.4871150463843685,0.7031991577610653,0.692519932175856,S2_lambda_u,u0010
751,1908,3.03626672918173,0.7557672487510081,0.7958140175963238,S2_lambda_u,u0100
751,1908,3.1798278915829865,0.7448309741214725,0.784290166584243,S2_lambda_u,u0500
751,1908,2.8368158322666726,0.7555870765531187,0.783334957803,S3_forecast_loss,cos
751,1908,3.115439924416936,0.7369130608597857,0.764061441941759,S3_forecast_loss,l1
751,1908,2.9397752185393626,0.7536127210873608,0.7628587563017342,S3_forecast_loss,l1cos
751,1908,2.937945200231944,0.7512063538132101,0.7873372998546613,S4_encoder,frozen
751,1908,2.3992274451952147,0.7550567919281491,0.8371633818499707,S4_encoder,ftuned
751,1908,3.044757611523671,0.7550035734395808,0.7871751403642472,S5_init,identity
751,1908,3.1454028468132003,0.7414055142935733,0.7541751834908329,S5_init,noresidual
751,1908,3.025969716285985,0.7464657884379107,0.7927705370697247,S5_init,random
751,1908,3.122915403369609,0.7495210395800377,0.7585665957330714,S6_schedule,ep300_cool
