epoch,itr,loss,loss_jepa,loss_forecast,iter-time(ms),gpu-time(ms),dataload-time(ms)
epoch,itr,loss,loss_jepa,loss_forecast,iter-time(ms),gpu-time(ms),dataload-time(ms)
1,0,0.96311,0.95048,0.12630,38447,19876,12028
1,1,0.96343,0.95038,0.13053,3020,2998,0
1,2,0.95851,0.94587,0.12639,3053,3030,0
1,3,0.96084,0.94837,0.12470,3013,2989,0
1,4,0.96041,0.94832,0.12089,2916,2894,0
1,5,0.95356,0.94196,0.11605,3069,3046,0
1,6,0.95735,0.94528,0.12070,2903,2881,0
1,7,0.95627,0.94438,0.11893,3043,3020,0
1,8,0.95543,0.94349,0.11941,2964,2941,0
1,9,0.95715,0.94494,0.12212,2972,2949,0
1,10,0.95746,0.94511,0.12350,3068,3045,0
1,11,0.95914,0.94706,0.12083,3110,3087,0
1,12,0.95477,0.94255,0.12221,2843,2820,0
1,13,0.95711,0.94539,0.11720,2856,2834,0
1,14,0.95408,0.94233,0.11752,3651,3629,0
1,15,0.95666,0.94493,0.11731,13689,13666,0
1,16,0.95521,0.94380,0.11403,3365,3342,0
1,17,0.95590,0.94362,0.12285,2858,2836,0
1,18,0.94860,0.93737,0.11233,3811,3788,0
1,19,0.95320,0.94195,0.11257,3134,3111,0
1,20,0.95258,0.94131,0.11273,3338,3315,0
1,21,0.95048,0.93955,0.10935,2835,2812,0
2,0,0.94348,0.93263,0.10848,58983,49497,9464
2,1,0.94849,0.93780,0.10691,2807,2784,0
2,2,0.94000,0.92856,0.11442,2945,2922,0
2,3,0.94015,0.92984,0.10308,2932,2909,0
2,4,0.93693,0.92682,0.10109,2934,2911,0
2,5,0.93693,0.92598,0.10953,3210,3188,0
2,6,0.93764,0.92665,0.10987,4547,4524,0
2,7,0.93058,0.92041,0.10168,2855,2833,0
2,8,0.93061,0.92010,0.10513,2987,2965,0
2,9,0.92524,0.91427,0.10962,3622,3599,0
2,10,0.92384,0.91365,0.10184,2997,2975,0
2,11,0.92410,0.91395,0.10145,2969,2942,4
2,12,0.92317,0.91336,0.09814,2888,2866,0
2,13,0.92315,0.91270,0.10456,2992,2969,0
2,14,0.92326,0.91276,0.10496,2880,2857,0
2,15,0.91605,0.90648,0.09572,2921,2898,0
2,16,0.91508,0.90590,0.09178,2934,2911,0
2,17,0.91254,0.90283,0.09703,4130,4107,0
2,18,0.91086,0.90086,0.10002,3079,3057,0
2,19,0.91308,0.90342,0.09661,3151,3129,0
2,20,0.90981,0.90038,0.09425,2902,2880,0
2,21,0.91040,0.90113,0.09273,3240,3217,0
3,0,0.90952,0.90007,0.09443,11400,3399,7979
3,1,0.90377,0.89399,0.09776,2846,2823,0
3,2,0.90470,0.89522,0.09479,3199,3176,0
3,3,0.91082,0.90161,0.09208,2940,2916,1
3,4,0.90314,0.89320,0.09943,2932,2909,0
3,5,0.90998,0.90083,0.09147,2944,2921,0
3,6,0.90986,0.90012,0.09733,2926,2903,0
3,7,0.90441,0.89507,0.09341,2874,2851,0
3,8,0.90943,0.90038,0.09051,2808,2785,0
3,9,0.90504,0.89647,0.08570,4653,4630,0
3,10,0.90425,0.89501,0.09241,3882,3858,0
3,11,0.90801,0.89915,0.08856,2760,2737,0
3,12,0.91362,0.90484,0.08777,2993,2971,0
3,13,0.89294,0.88441,0.08538,2802,2779,0
3,14,0.89614,0.88727,0.08877,2840,2817,0
3,15,0.89287,0.88439,0.08484,2921,2899,0
3,16,0.89843,0.88978,0.08643,2861,2838,0
3,17,0.89369,0.88514,0.08557,2869,2846,0
3,18,0.89307,0.88434,0.08737,2697,2675,0
3,19,0.88811,0.87926,0.08849,2829,2806,0
3,20,0.88742,0.87930,0.08121,5653,5630,0
3,21,0.89555,0.88671,0.08836,2926,2903,0
4,0,0.88536,0.87704,0.08324,10345,2692,7631
4,1,0.88732,0.87952,0.07799,2934,2911,0
4,2,0.88615,0.87726,0.08888,2804,2780,0
4,3,0.88347,0.87484,0.08633,2853,2830,0
4,4,0.88122,0.87281,0.08419,2864,2841,0
4,5,0.88143,0.87363,0.07797,2875,2851,0
4,6,0.87527,0.86712,0.08144,2765,2742,0
4,7,0.87422,0.86597,0.08259,2859,2836,0
4,8,0.87049,0.86191,0.08578,2773,2750,0
4,9,0.87016,0.86207,0.08090,2783,2760,0
4,10,0.87038,0.86193,0.08449,2777,2753,0
4,11,0.85708,0.84938,0.07699,2840,2818,0
4,12,0.85616,0.84845,0.07715,2864,2841,0
4,13,0.85775,0.85027,0.07476,2853,2830,0
4,14,0.85761,0.84950,0.08111,2760,2737,0
4,15,0.84576,0.83820,0.07554,2791,2768,0
4,16,0.85159,0.84312,0.08469,2763,2740,0
4,17,0.84462,0.83665,0.07977,2725,2703,0
4,18,0.84783,0.83987,0.07965,2848,2826,0
4,19,0.84616,0.83810,0.08056,2873,2850,0
4,20,0.83491,0.82721,0.07692,2838,2815,0
4,21,0.83074,0.82273,0.08014,2805,2783,0
5,0,0.83454,0.82695,0.07595,10390,3290,7078
5,1,0.82952,0.82120,0.08324,2815,2793,0
5,2,0.83286,0.82469,0.08176,2983,2960,0
5,3,0.82396,0.81597,0.07987,2885,2862,0
5,4,0.81307,0.80562,0.07455,2765,2742,0
5,5,0.81738,0.80928,0.08094,2751,2729,0
5,6,0.82095,0.81331,0.07645,2909,2886,0
5,7,0.81186,0.80421,0.07648,2942,2918,1
5,8,0.80934,0.80169,0.07651,2994,2971,0
5,9,0.80425,0.79642,0.07827,2944,2920,0
5,10,0.80096,0.79366,0.07292,2813,2790,0
5,11,0.80844,0.80048,0.07962,2850,2826,0
5,12,0.80108,0.79334,0.07741,2878,2854,0
5,13,0.79676,0.78900,0.07754,2668,2645,0
5,14,0.78898,0.78193,0.07048,2723,2701,0
5,15,0.79501,0.78687,0.08138,2768,2745,0
5,16,0.78815,0.78061,0.07532,2764,2741,0
5,17,0.78231,0.77528,0.07035,2902,2879,0
5,18,0.78220,0.77487,0.07332,3006,2983,0
5,19,0.77888,0.77146,0.07419,2814,2791,0
5,20,0.78263,0.77480,0.07831,2883,2860,0
5,21,0.77762,0.76973,0.07886,2824,2802,0
6,0,0.76867,0.76135,0.07319,10817,4891,5904
6,1,0.77421,0.76680,0.07409,2884,2861,0
6,2,0.77386,0.76644,0.07414,2962,2939,0
6,3,0.77044,0.76298,0.07460,2965,2942,0
6,4,0.76698,0.75947,0.07508,2934,2911,0
6,5,0.75942,0.75211,0.07300,2865,2842,0
6,6,0.75420,0.74716,0.07044,2868,2845,0
6,7,0.75338,0.74598,0.07401,2926,2903,0
6,8,0.74657,0.73931,0.07260,2893,2869,0
6,9,0.74054,0.73295,0.07590,2907,2884,0
6,10,0.74262,0.73561,0.07012,2896,2873,0
6,11,0.74074,0.73346,0.07278,2935,2912,0
6,12,0.73259,0.72542,0.07174,2862,2840,0
6,13,0.72402,0.71663,0.07394,2830,2806,0
6,14,0.72182,0.71465,0.07164,2834,2811,0
6,15,0.71114,0.70418,0.06956,2907,2885,0
6,16,0.71180,0.70476,0.07046,2768,2745,0
