epoch,itr,loss,loss_jepa,loss_forecast,iter-time(ms),gpu-time(ms),dataload-time(ms)
1,0,1.07157,0.94812,0.12345,63089,8155,26372
1,1,1.08599,0.95472,0.13128,1495,1470,0
1,2,1.07811,0.95738,0.12074,1461,1435,0
1,3,1.08197,0.95632,0.12565,1477,1436,0
1,4,1.08066,0.96173,0.11893,1822,1793,0
1,5,1.08344,0.96033,0.12311,1921,1894,0
1,6,1.08019,0.95982,0.12037,1500,1477,0
1,7,1.08863,0.96091,0.12772,1460,1436,0
1,8,1.09186,0.96406,0.12780,1523,1488,0
1,9,1.09329,0.96287,0.13042,1506,1471,0
1,10,1.08414,0.95825,0.12589,1566,1515,0
1,11,1.09784,0.96525,0.13259,1610,1577,0
1,12,1.08475,0.96168,0.12307,1502,1477,0
1,13,1.08157,0.96492,0.11665,1507,1480,0
1,14,1.08237,0.96036,0.12201,12077,12054,0
1,15,1.09305,0.96719,0.12586,1528,1499,0
1,16,1.08765,0.96331,0.12433,1585,1561,0
1,17,1.08849,0.96369,0.12479,1509,1485,0
1,18,1.08524,0.96298,0.12227,1530,1506,0
1,19,1.09579,0.96905,0.12674,1625,1602,0
1,20,1.09722,0.97011,0.12711,1558,1536,0
1,21,1.10536,0.98131,0.12406,1473,1447,0
2,0,1.09153,0.97088,0.12064,14195,3984,10189
2,1,1.08825,0.97206,0.11619,1552,1529,0
2,2,1.11049,0.98606,0.12443,1575,1549,0
2,3,1.09898,0.97340,0.12558,1557,1531,0
2,4,1.11362,0.98894,0.12468,1591,1559,0
2,5,1.11025,0.98140,0.12884,1596,1564,0
2,6,1.11407,0.98511,0.12897,1576,1551,0
2,7,1.09653,0.97683,0.11969,1503,1469,0
2,8,1.09596,0.97257,0.12339,1612,1566,0
2,9,1.09700,0.97232,0.12468,1590,1560,0
2,10,1.09139,0.96782,0.12358,1543,1514,0
2,11,1.09407,0.96903,0.12505,1590,1552,0
2,12,1.09699,0.97817,0.11882,1607,1577,0
2,13,1.09698,0.96974,0.12725,1570,1538,0
2,14,1.09976,0.97879,0.12097,1601,1562,0
2,15,1.08706,0.96635,0.12071,6731,6692,0
2,16,1.10097,0.97737,0.12360,1460,1436,0
2,17,1.09058,0.96784,0.12273,1457,1434,0
2,18,1.09210,0.97024,0.12186,1669,1640,0
2,19,1.09754,0.97032,0.12722,1585,1560,0
2,20,1.09913,0.96723,0.13190,1621,1598,0
2,21,1.08259,0.96656,0.11604,1532,1503,0
3,0,1.10350,0.97640,0.12710,19618,9327,10267
3,1,1.10490,0.97024,0.13465,1598,1575,0
3,2,1.09366,0.96915,0.12452,1497,1474,0
3,3,1.09527,0.96562,0.12965,1542,1506,0
3,4,1.08866,0.96674,0.12193,1568,1539,0
3,5,1.08919,0.96724,0.12195,1578,1506,0
