epoch,itr,loss,loss_jepa,loss_forecast,iter-time(ms),gpu-time(ms),dataload-time(ms)
1,0,1.07331,0.94933,0.12398,61802,24481,20372
1,1,1.08134,0.95677,0.12457,1490,1462,0
1,2,1.08338,0.95609,0.12729,1461,1432,0
1,3,1.08371,0.95524,0.12847,1479,1438,2
1,4,1.08209,0.95936,0.12273,1821,1786,0
1,5,1.08347,0.96053,0.12293,1921,1892,0
1,6,1.08196,0.95831,0.12365,1503,1476,0
1,7,1.08867,0.96015,0.12852,1461,1432,0
1,8,1.08613,0.96152,0.12460,1518,1480,0
1,9,1.08742,0.96060,0.12683,1506,1471,0
1,10,1.09033,0.96168,0.12866,1567,1521,0
1,11,1.09292,0.96658,0.12634,1607,1569,0
1,12,1.08511,0.96214,0.12297,1505,1479,0
1,13,1.08242,0.96296,0.11946,1507,1471,0
1,14,1.08600,0.96070,0.12530,12080,12053,0
1,15,1.09436,0.96565,0.12871,1524,1491,0
1,16,1.08147,0.96209,0.11938,1587,1561,0
1,17,1.08256,0.96121,0.12135,1506,1478,0
1,18,1.08975,0.96404,0.12571,1531,1502,0
1,19,1.09239,0.96881,0.12358,1626,1601,0
1,20,1.08875,0.96699,0.12176,1562,1537,0
1,21,1.11072,0.98456,0.12616,1471,1442,0
2,0,1.09676,0.97775,0.11901,14196,4532,9641
2,1,1.10452,0.98006,0.12446,1554,1527,0
2,2,1.10751,0.97719,0.13032,1575,1544,0
2,3,1.09601,0.97352,0.12249,1555,1526,0
2,4,1.09568,0.97350,0.12218,1593,1557,0
2,5,1.11218,0.98546,0.12673,1595,1563,0
2,6,1.10784,0.98288,0.12496,1577,1544,0
2,7,1.09466,0.97544,0.11922,1508,1469,1
2,8,1.09655,0.97310,0.12344,1604,1561,0
2,9,1.09676,0.97342,0.12334,1593,1559,0
2,10,1.09326,0.96914,0.12412,1544,1512,0
2,11,1.09554,0.97362,0.12192,1591,1550,0
2,12,1.10113,0.97716,0.12396,1605,1574,0
2,13,1.09891,0.97144,0.12747,1567,1529,0
2,14,1.10287,0.97840,0.12447,1606,1565,0
2,15,1.09423,0.96908,0.12515,6730,6691,0
2,16,1.09791,0.97598,0.12193,1459,1431,0
2,17,1.09300,0.96632,0.12668,1455,1431,0
2,18,1.09647,0.96942,0.12705,1670,1636,0
2,19,1.09349,0.96924,0.12425,1582,1554,0
2,20,1.08961,0.96619,0.12342,1623,1598,0
2,21,1.08900,0.96803,0.12097,1532,1500,0
3,0,1.09681,0.97566,0.12114,19621,8813,10784
3,1,1.09155,0.96795,0.12360,1597,1573,0
3,2,1.09208,0.96958,0.12250,1498,1471,0
3,3,1.08987,0.96665,0.12322,1542,1507,0
3,4,1.09139,0.96469,0.12670,1568,1535,0
3,5,1.09449,0.96854,0.12596,1575,1537,0
3,6,1.08724,0.96641,0.12083,1550,1519,0
3,7,1.08386,0.96739,0.11647,1601,1561,0
3,8,1.09977,0.97452,0.12525,1640,1615,0
3,9,1.09598,0.97789,0.11809,1555,1528,0
3,10,1.09562,0.96743,0.12819,1547,1511,0
3,11,1.10241,0.97840,0.12401,1510,1477,0
3,12,1.10045,0.97901,0.12144,1646,1609,0
3,13,1.08287,0.96626,0.11661,1606,1578,0
3,14,1.09945,0.97014,0.12931,1512,1473,0
3,15,1.09845,0.97225,0.12620,1519,1491,0
3,16,1.10411,0.96965,0.13445,1542,1518,0
3,17,1.10949,0.97788,0.13161,1537,1506,0
3,18,1.10417,0.97756,0.12661,1446,1417,0
3,19,1.10039,0.97397,0.12642,1442,1409,0
3,20,1.09592,0.97682,0.11910,1735,1711,0
3,21,1.11257,0.98419,0.12838,5194,5162,0
4,0,1.10531,0.97937,0.12595,13517,4007,9486
4,1,1.10337,0.98430,0.11907,1485,1455,0
4,2,1.10478,0.97780,0.12699,1603,1567,0
4,3,1.09883,0.97738,0.12144,1500,1463,0
4,4,1.10613,0.98062,0.12551,1536,1512,0
4,5,1.09947,0.98105,0.11843,1564,1529,0
4,6,1.10515,0.98157,0.12358,1566,1526,0
4,7,1.09742,0.97962,0.11780,1501,1465,0
4,8,1.10457,0.97916,0.12541,1482,1441,0
4,9,1.09584,0.97382,0.12202,1474,1437,0
4,10,1.10925,0.97827,0.13097,1533,1498,0
4,11,1.09892,0.97477,0.12415,1536,1504,0
4,12,1.09783,0.97742,0.12041,1636,1606,0
4,13,1.09092,0.97387,0.11705,1550,1512,0
4,14,1.09776,0.97634,0.12141,1557,1524,0
4,15,1.09429,0.97531,0.11898,1676,1642,0
4,16,1.10643,0.97355,0.13288,1712,1684,0
4,17,1.09724,0.97326,0.12397,1438,1413,0
4,18,1.08965,0.96883,0.12083,1504,1478,0
4,19,1.09856,0.97290,0.12566,1599,1569,0
4,20,1.08821,0.97117,0.11704,1682,1646,0
4,21,1.09409,0.96867,0.12542,1498,1470,0
5,0,1.09289,0.96748,0.12540,16421,6504,9890
5,1,1.09819,0.96826,0.12993,1581,1553,0
5,2,1.09144,0.96574,0.12570,1621,1588,0
5,3,1.08849,0.96923,0.11926,1541,1513,0
5,4,1.09260,0.96604,0.12656,1618,1588,0
5,5,1.08840,0.96562,0.12278,1578,1549,0
5,6,1.08560,0.96209,0.12351,1609,1572,0
5,7,1.09083,0.96535,0.12548,1664,1637,0
5,8,1.09214,0.96566,0.12648,2320,2294,0
5,9,1.10362,0.97125,0.13237,1555,1515,0
5,10,1.09592,0.97087,0.12505,1559,1532,0
5,11,1.09498,0.96755,0.12743,1574,1548,0
5,12,1.09552,0.97111,0.12441,1516,1485,0
5,13,1.08978,0.96878,0.12099,1507,1473,0
5,14,1.09886,0.97319,0.12568,1441,1415,0
5,15,1.09731,0.97010,0.12721,1573,1548,0
5,16,1.08843,0.96757,0.12086,1645,1615,0
5,17,1.09080,0.96955,0.12125,1568,1542,0
5,18,1.09415,0.96995,0.12420,1812,1787,0
5,19,1.09347,0.97219,0.12128,1436,1409,0
5,20,1.08847,0.96588,0.12259,2499,2463,0
5,21,1.08716,0.96449,0.12267,1528,1503,0
6,0,1.09275,0.96924,0.12350,15912,6238,9650
6,1,1.08685,0.96574,0.12110,1526,1494,0
6,2,1.09527,0.96940,0.12587,1534,1504,0
6,3,1.09036,0.96308,0.12727,1573,1542,0
6,4,1.09759,0.96502,0.13257,1488,1464,0
6,5,1.08589,0.96410,0.12179,1556,1525,0
6,6,1.08709,0.96708,0.12001,1552,1519,0
6,7,1.09779,0.96653,0.13126,1530,1507,0
6,8,1.09028,0.96729,0.12299,1552,1521,0
6,9,1.09006,0.96643,0.12362,1493,1460,0
6,10,1.09725,0.96588,0.13137,1570,1537,1
6,11,1.08538,0.96557,0.11981,1545,1520,0
6,12,1.09438,0.97005,0.12433,1977,1943,0
6,13,1.08952,0.96936,0.12016,1514,1485,0
6,14,1.08200,0.96331,0.11869,1612,1588,0
6,15,1.08291,0.96518,0.11773,1481,1452,0
6,16,1.09006,0.96830,0.12175,1461,1431,0
6,17,1.08911,0.96651,0.12260,1465,1436,0
6,18,1.08741,0.96642,0.12099,1471,1447,0
6,19,1.09669,0.97144,0.12524,1446,1418,0
6,20,1.09400,0.97115,0.12285,1418,1391,0
6,21,1.09964,0.97164,0.12800,1633,1610,0
7,0,1.09679,0.97202,0.12476,14646,4970,9654
7,1,1.09117,0.97146,0.11971,1645,1617,0
7,2,1.09656,0.97066,0.12590,1573,1547,0
7,3,1.09645,0.97178,0.12467,1482,1456,0
7,4,1.09645,0.97018,0.12627,1497,1466,0
7,5,1.08698,0.96953,0.11745,1561,1532,0
7,6,1.09186,0.97184,0.12002,1522,1487,0
7,7,1.09733,0.97044,0.12689,1601,1571,0
7,8,1.09804,0.97436,0.12368,1591,1558,0
7,9,1.10576,0.97694,0.12881,1611,1583,0
7,10,1.09544,0.97402,0.12142,1561,1539,0
7,11,1.10455,0.97999,0.12456,1556,1519,0
7,12,1.10037,0.97727,0.12310,1607,1583,0
7,13,1.10154,0.97688,0.12465,1509,1475,0
7,14,1.10495,0.97847,0.12648,1531,1504,0
7,15,1.09884,0.98048,0.11836,1535,1503,0
7,16,1.10261,0.98040,0.12221,1511,1486,0
7,17,1.10220,0.97990,0.12230,1554,1528,0
7,18,1.10223,0.98384,0.11839,1636,1602,0
7,19,1.10927,0.98689,0.12238,1481,1456,0
7,20,1.10970,0.98353,0.12617,1558,1526,0
7,21,1.11171,0.98955,0.12217,1537,1511,0
8,0,1.10684,0.98693,0.11991,17058,6937,10098
8,1,1.10801,0.98522,0.12278,1527,1497,0
8,2,1.10822,0.98615,0.12207,1471,1443,0
8,3,1.12011,0.98948,0.13064,1496,1465,0
8,4,1.09931,0.98425,0.11506,1473,1447,0
8,5,1.10751,0.98736,0.12014,1551,1525,0
8,6,1.11033,0.99073,0.11960,1560,1535,0
8,7,1.10916,0.98744,0.12172,1507,1475,0
8,8,1.11218,0.98763,0.12455,1481,1449,0
8,9,1.11014,0.98486,0.12529,1585,1556,0
8,10,1.10524,0.98655,0.11869,1575,1538,0
8,11,1.10494,0.98664,0.11830,1523,1493,0
8,12,1.10316,0.98650,0.11666,1490,1463,0
8,13,1.10690,0.98871,0.11819,1535,1509,0
8,14,1.11093,0.98614,0.12478,1561,1529,0
8,15,1.10876,0.98490,0.12386,1540,1507,0
8,16,1.10854,0.98540,0.12314,1515,1490,0
8,17,1.10590,0.98538,0.12052,1539,1510,0
8,18,1.10400,0.98421,0.11978,1496,1469,0
8,19,1.10751,0.98397,0.12354,1468,1444,0
8,20,1.10835,0.98574,0.12261,1450,1426,0
8,21,1.11047,0.98872,0.12174,1818,1787,0
9,0,1.10800,0.98589,0.12211,14282,4602,9657
9,1,1.11359,0.98950,0.12409,1644,1613,0
9,2,1.10993,0.98856,0.12137,1489,1461,0
9,3,1.10939,0.98837,0.12102,1581,1554,0
9,4,1.11666,0.99254,0.12412,1600,1564,0
9,5,1.11272,0.99327,0.11945,1477,1453,0
9,6,1.12360,0.99429,0.12931,1525,1500,0
9,7,1.11340,0.99236,0.12105,1546,1519,0
9,8,1.11334,0.99033,0.12301,1551,1516,0
9,9,1.11079,0.99127,0.11952,1608,1579,0
9,10,1.10681,0.98819,0.11862,1488,1458,0
9,11,1.11329,0.98698,0.12631,2532,2497,0
9,12,1.10704,0.99190,0.11514,5979,5945,0
9,13,1.11314,0.98984,0.12330,1427,1403,0
9,14,1.10982,0.98825,0.12157,1454,1422,0
9,15,1.10496,0.98718,0.11778,1467,1437,0
9,16,1.11087,0.98707,0.12380,1448,1421,0
9,17,1.10449,0.98550,0.11899,1460,1435,0
9,18,1.10187,0.98280,0.11907,1592,1562,0
9,19,1.10973,0.98880,0.12093,1576,1547,0
9,20,1.11162,0.98559,0.12603,1493,1469,0
9,21,1.10986,0.98836,0.12149,1544,1512,0
10,0,1.11672,0.99533,0.12139,16766,7109,9634
10,1,1.11732,0.99369,0.12363,1458,1430,0
10,2,1.10972,0.99073,0.11899,1513,1482,0
10,3,1.12118,0.99629,0.12488,1507,1474,0
10,4,1.11179,0.99278,0.11901,1516,1490,0
10,5,1.12207,0.99582,0.12625,1463,1434,0
10,6,1.11392,0.99352,0.12040,1522,1494,0
10,7,1.11856,0.99648,0.12208,1502,1474,0
10,8,1.11407,0.99784,0.11623,1662,1628,0
10,9,1.11681,0.99737,0.11944,1445,1414,0
10,10,1.11177,0.99570,0.11607,1451,1418,0
10,11,1.11444,0.99748,0.11696,1438,1411,0
10,12,1.12013,1.00025,0.11988,1450,1419,0
10,13,1.12041,1.00060,0.11981,1479,1451,0
10,14,1.12856,1.00536,0.12320,1606,1581,0
10,15,1.12421,1.00309,0.12112,2058,2028,0
10,16,1.13394,1.00771,0.12624,1446,1416,0
10,17,1.13108,1.00669,0.12439,1476,1450,0
10,18,1.12392,1.00842,0.11551,1442,1414,0
10,19,1.14237,1.01237,0.13000,1461,1433,0
10,20,1.13803,1.01125,0.12678,1490,1462,0
10,21,1.13593,1.01367,0.12226,1431,1406,0
11,0,1.13794,1.01521,0.12273,13234,3457,9754
11,1,1.13381,1.01407,0.11974,1538,1512,0
11,2,1.12996,1.01334,0.11663,1479,1452,0
11,3,1.14293,1.01471,0.12822,1484,1454,0
11,4,1.13395,1.01302,0.12093,1509,1472,0
11,5,1.14028,1.01691,0.12337,1508,1474,0
11,6,1.13604,1.01643,0.11961,1669,1640,0
11,7,1.13663,1.01716,0.11947,1609,1575,0
11,8,1.13584,1.01616,0.11968,1549,1523,0
11,9,1.13969,1.01819,0.12150,1878,1851,0
11,10,1.13100,1.01722,0.11378,1860,1831,0
11,11,1.13610,1.01805,0.11805,5091,5053,0
11,12,1.13322,1.01734,0.11588,1447,1413,0
11,13,1.14076,1.01808,0.12268,1461,1435,0
11,14,1.13510,1.01722,0.11788,1539,1506,0
11,15,1.14077,1.01648,0.12429,1564,1538,0
11,16,1.13244,1.01578,0.11666,1552,1525,0
