epoch,itr,loss,loss_jepa,loss_forecast,iter-time(ms),gpu-time(ms),dataload-time(ms)
1,0,0.72456,0.94777,0.03825,25606,16569,9015
1,1,0.75805,0.95659,0.03823,1487,1461,0
1,2,0.72184,0.95819,0.04058,1576,1546,0
1,3,0.73602,0.95486,0.04170,1552,1523,0
1,4,0.75382,0.96049,0.03840,1926,1897,0
1,5,0.73320,0.95371,0.03786,1907,1878,0
1,6,0.73703,0.96242,0.03996,1465,1442,0
1,7,0.69298,0.96144,0.04463,2173,2151,0
1,8,0.77304,0.96336,0.03873,1503,1477,0
1,9,0.75249,0.96435,0.04204,2223,2195,0
1,10,0.73702,0.96590,0.04316,1925,1897,0
1,11,0.72953,0.96715,0.04013,1676,1647,0
1,12,0.75133,0.97028,0.03773,1834,1804,0
1,13,0.78468,0.96981,0.03434,1893,1870,0
1,14,0.75015,0.97117,0.03974,1975,1953,0
1,15,0.76462,0.97573,0.04338,1801,1776,0
1,16,0.78386,0.97511,0.03463,1617,1588,0
1,17,0.76890,0.97839,0.03619,1752,1723,0
1,18,0.78007,0.98221,0.04123,1495,1469,0
1,19,0.77323,0.98706,0.03831,1521,1492,0
1,20,0.72447,0.98792,0.03744,1524,1501,0
1,21,0.77063,0.99382,0.04233,1510,1481,0
2,0,0.79569,0.99704,0.03478,9630,1834,7774
2,1,0.79449,0.99217,0.04025,1876,1847,0
2,2,0.76585,0.99395,0.04668,1702,1672,0
2,3,0.79550,0.99826,0.03727,1581,1556,0
2,4,0.79055,0.99486,0.03721,2146,2116,0
2,5,0.77969,0.99953,0.04211,2213,2189,0
2,6,0.75014,0.99782,0.04115,2135,2112,0
2,7,0.74457,1.00030,0.03345,1905,1875,0
2,8,0.75925,0.99932,0.03889,2004,1975,0
2,9,0.74676,0.99577,0.03868,1573,1544,0
2,10,0.77254,0.99419,0.03809,1897,1871,0
2,11,0.77402,0.99538,0.03810,1733,1703,0
2,12,0.78077,0.99063,0.03967,1576,1544,0
2,13,0.77727,0.98765,0.04458,2005,1982,0
2,14,0.78671,0.98871,0.03887,2134,2111,0
2,15,0.75506,0.98641,0.04479,1878,1849,0
2,16,0.78162,0.98503,0.03725,2051,2023,0
2,17,0.76624,0.98189,0.04312,1541,1516,0
2,18,0.78065,0.98199,0.04314,1859,1831,0
2,19,0.76176,0.98065,0.03871,1800,1771,0
2,20,0.78609,0.97671,0.03806,1627,1599,0
2,21,0.78051,0.97499,0.03693,1639,1616,0
3,0,0.77618,0.97815,0.03713,9968,2200,7744
3,1,0.74640,0.97442,0.03835,2409,2386,0
3,2,0.75235,0.97696,0.03768,1882,1854,0
3,3,0.77192,0.97572,0.03863,1507,1478,0
3,4,0.74093,0.97408,0.04264,1562,1533,0
3,5,0.75424,0.97471,0.04213,1584,1555,0
3,6,0.78847,0.97427,0.03707,1972,1950,0
3,7,0.77246,0.97081,0.03245,1522,1495,0
3,8,0.76291,0.97206,0.04070,1505,1472,0
3,9,0.70735,0.97417,0.03331,1982,1959,0
3,10,0.73243,0.97166,0.04609,1581,1551,0
3,11,0.77052,0.97077,0.03911,1485,1454,0
3,12,0.73690,0.97480,0.03686,1566,1536,0
3,13,0.79409,0.97518,0.03239,1932,1904,0
3,14,0.76282,0.97510,0.04386,1620,1592,0
3,15,0.74898,0.97302,0.04179,1477,1446,0
3,16,0.72674,0.97470,0.05091,1533,1510,0
3,17,0.70485,0.97287,0.05071,1507,1482,0
3,18,0.79349,0.97328,0.04232,1469,1441,0
3,19,0.76592,0.97135,0.04307,1462,1433,0
3,20,0.74872,0.97151,0.03390,1491,1464,0
3,21,0.72904,0.97293,0.04273,1522,1496,0
4,0,0.76989,0.97257,0.04198,9356,2150,7151
4,1,0.70424,0.97498,0.03378,1600,1575,0
4,2,0.75497,0.97085,0.04289,1553,1526,0
4,3,0.77791,0.97264,0.03724,1574,1545,0
4,4,0.73082,0.97186,0.04196,1577,1548,0
4,5,0.72420,0.97120,0.03426,1491,1462,0
4,6,0.78890,0.96981,0.03884,1569,1539,0
4,7,0.74716,0.97082,0.03441,1829,1803,0
4,8,0.74128,0.97178,0.04162,1511,1488,0
4,9,0.72305,0.97079,0.03763,1508,1481,0
4,10,0.71007,0.97646,0.04712,1593,1564,0
4,11,0.75827,0.97591,0.04180,1820,1791,0
4,12,0.75716,0.97452,0.03760,1564,1533,0
4,13,0.75367,0.97484,0.03448,1513,1484,0
4,14,0.80107,0.97515,0.03679,1559,1537,0
4,15,0.78953,0.97184,0.03510,1500,1477,0
4,16,0.73688,0.97641,0.04956,1471,1445,0
4,17,0.77182,0.97572,0.03932,1529,1500,0
4,18,0.80624,0.97444,0.03782,1560,1532,0
4,19,0.73001,0.97800,0.04245,1614,1589,0
4,20,0.70113,0.97470,0.03267,1535,1506,0
4,21,0.75761,0.97732,0.04028,1512,1486,0
5,0,0.70605,0.97599,0.04241,9422,2285,7117
5,1,0.75284,0.97586,0.04606,1796,1773,0
5,2,0.72618,0.97994,0.04087,2315,2289,0
5,3,0.76504,0.97635,0.03526,1586,1560,0
5,4,0.75358,0.97484,0.04158,2113,2084,0
5,5,0.74986,0.97884,0.03864,1724,1694,0
5,6,0.78761,0.97782,0.03992,1640,1607,0
5,7,0.74931,0.97808,0.04110,1488,1457,0
