epoch,itr,loss,loss_jepa,loss_forecast,iter-time(ms),gpu-time(ms),dataload-time(ms)
1,0,0.98026,0.94559,0.03467,28948,14837,14089
1,1,0.99802,0.95775,0.04028,1825,1801,0
1,2,0.99913,0.95926,0.03987,1534,1508,0
1,3,0.99216,0.95585,0.03631,1940,1915,0
1,4,0.99085,0.95632,0.03453,1598,1573,0
1,5,1.00420,0.96126,0.04294,1823,1798,0
1,6,0.99659,0.96354,0.03304,1524,1499,0
1,7,0.99722,0.96239,0.03483,1462,1440,0
1,8,0.99548,0.96091,0.03457,1483,1459,0
1,9,0.99837,0.95902,0.03935,2074,2048,1
1,10,0.99970,0.96044,0.03926,1492,1467,0
1,11,0.99768,0.95909,0.03859,1954,1927,0
1,12,0.99322,0.95971,0.03351,1475,1449,0
1,13,0.99908,0.96065,0.03843,1544,1518,0
1,14,0.99710,0.96073,0.03637,1601,1579,0
1,15,1.00259,0.96568,0.03691,1463,1439,0
1,16,0.99925,0.96233,0.03693,1881,1856,0
1,17,1.00490,0.96559,0.03931,1814,1789,0
1,18,1.00875,0.96633,0.04242,1444,1419,0
1,19,1.00396,0.96776,0.03620,1532,1507,0
1,20,1.00604,0.96875,0.03729,1548,1523,0
1,21,1.02065,0.97324,0.04741,1759,1738,0
2,0,1.00724,0.97010,0.03714,9726,2212,7490
2,1,1.00711,0.97035,0.03677,1656,1631,0
2,2,1.00088,0.96313,0.03775,1872,1847,0
2,3,1.00587,0.97278,0.03309,1585,1560,0
2,4,1.01289,0.97175,0.04114,1509,1483,0
2,5,1.02006,0.97827,0.04179,1621,1596,0
2,6,1.00332,0.96568,0.03764,1512,1487,0
2,7,1.00912,0.96911,0.04001,1576,1553,0
2,8,1.00324,0.96529,0.03795,1585,1560,0
2,9,1.00507,0.96187,0.04320,1607,1583,0
2,10,0.99749,0.96066,0.03684,2027,2001,0
2,11,1.00599,0.96654,0.03946,1601,1576,0
2,12,1.01168,0.97132,0.04036,1662,1637,0
2,13,0.99356,0.95971,0.03385,2120,2095,0
2,14,1.00487,0.96980,0.03508,2301,2279,0
2,15,0.98945,0.96013,0.02933,1925,1900,0
2,16,1.01556,0.97175,0.04380,2379,2355,0
2,17,0.99971,0.95900,0.04071,1871,1846,0
2,18,1.00130,0.95974,0.04156,1811,1785,0
2,19,0.99682,0.95912,0.03769,1814,1789,0
2,20,0.99868,0.95901,0.03967,2238,2214,0
2,21,0.99028,0.95753,0.03275,1561,1536,0
3,0,0.99963,0.96180,0.03784,10025,3246,6755
3,1,0.99814,0.95994,0.03821,2599,2573,0
3,2,0.99838,0.96035,0.03803,2382,2360,0
3,3,1.01714,0.97233,0.04481,2629,2604,0
3,4,0.99537,0.95634,0.03903,1674,1602,0
3,5,0.99924,0.95980,0.03945,1582,1557,0
3,6,1.00209,0.95936,0.04273,2630,2605,0
3,7,0.99469,0.96066,0.03403,1495,1472,0
3,8,1.01717,0.97170,0.04547,1555,1530,0
3,9,1.00110,0.97081,0.03029,1961,1936,0
3,10,0.99872,0.96108,0.03765,1973,1951,0
3,11,1.01529,0.97649,0.03880,1526,1501,0
3,12,1.00713,0.97555,0.03158,3041,3015,0
3,13,1.00052,0.96708,0.03344,2618,2594,0
3,14,1.00740,0.96926,0.03814,1892,1868,0
3,15,1.00541,0.97051,0.03490,1469,1445,0
3,16,1.00860,0.96945,0.03915,1915,1890,0
3,17,1.00547,0.97112,0.03435,2136,2113,0
3,18,1.01631,0.97411,0.04221,1731,1708,0
3,19,1.00976,0.97200,0.03775,1832,1807,0
3,20,1.01800,0.97457,0.04344,2102,2078,0
3,21,1.02344,0.97940,0.04403,1510,1485,0
4,0,1.01405,0.97858,0.03548,9718,2691,7004
4,1,1.01137,0.97460,0.03676,1572,1547,0
4,2,1.01022,0.97377,0.03646,1896,1871,0
4,3,1.00587,0.97580,0.03006,1528,1504,0
4,4,1.00993,0.97393,0.03600,2034,2011,1
4,5,1.00780,0.97212,0.03567,1525,1501,0
4,6,1.01916,0.97652,0.04265,2387,2362,0
4,7,1.00332,0.97047,0.03285,1569,1544,0
4,8,1.01544,0.97145,0.04400,1507,1484,0
4,9,1.00968,0.96978,0.03990,1577,1552,0
4,10,1.01333,0.97560,0.03773,1943,1918,0
4,11,1.00681,0.96773,0.03908,1888,1864,0
4,12,1.00733,0.97076,0.03656,1975,1952,0
4,13,1.00597,0.96903,0.03695,2386,2361,3
4,14,1.02016,0.97838,0.04178,1795,1769,0
4,15,1.00614,0.97213,0.03401,1452,1428,0
4,16,1.01241,0.97453,0.03787,1517,1492,0
4,17,1.02312,0.97962,0.04351,1478,1454,0
4,18,1.00947,0.97370,0.03578,1547,1522,0
4,19,1.01528,0.97714,0.03814,1533,1460,0
4,20,1.01452,0.97760,0.03692,1568,1544,0
4,21,1.01239,0.97583,0.03655,1836,1811,0
5,0,1.01779,0.97808,0.03971,9867,2927,6917
5,1,1.01183,0.97723,0.03460,1875,1851,0
5,2,1.02263,0.97821,0.04442,1578,1554,0
5,3,1.02599,0.98308,0.04291,1868,1842,0
5,4,1.01775,0.98008,0.03767,1920,1897,0
5,5,1.02272,0.98021,0.04251,1539,1513,0
5,6,1.02330,0.97987,0.04343,1587,1562,0
5,7,1.02290,0.98445,0.03844,1944,1549,14
5,8,1.02190,0.98207,0.03983,1962,1934,0
5,9,1.02344,0.98306,0.04038,2581,2557,0
5,10,1.02653,0.98556,0.04097,1627,1601,0
5,11,1.02412,0.98480,0.03932,1812,1789,0
5,12,1.02211,0.98423,0.03789,2235,2210,0
5,13,1.02047,0.98382,0.03665,1638,1613,0
5,14,1.02718,0.98534,0.04184,1489,1465,0
5,15,1.02176,0.98568,0.03607,1660,1635,0
5,16,1.02663,0.98703,0.03960,1533,1510,0
5,17,1.02583,0.98448,0.04135,1533,1509,0
5,18,1.01937,0.98549,0.03388,1556,1532,0
5,19,1.02596,0.98753,0.03842,1505,1480,0
5,20,1.02822,0.99045,0.03777,1536,1511,0
5,21,1.02847,0.99052,0.03795,1506,1483,0
6,0,1.02295,0.98818,0.03477,10346,2463,7861
6,1,1.02915,0.99266,0.03649,1549,1524,0
6,2,1.02820,0.99033,0.03787,1590,1567,0
6,3,1.03042,0.98982,0.04060,1518,1494,0
6,4,1.02686,0.99015,0.03671,1592,1569,0
6,5,1.02223,0.99130,0.03093,1592,1567,0
6,6,1.02859,0.99120,0.03739,1768,1742,0
