epoch,itr,loss,loss_jepa,loss_forecast,iter-time(ms),gpu-time(ms),dataload-time(ms)
1,0,0.98593,0.94496,0.04098,29202,19684,9495
1,1,1.00027,0.95617,0.04409,1821,1799,0
1,2,0.99554,0.95407,0.04148,1541,1518,0
1,3,1.00193,0.96220,0.03973,1933,1910,0
1,4,0.99941,0.96224,0.03717,1599,1577,0
1,5,0.99077,0.95548,0.03529,1823,1801,0
1,6,0.99872,0.95936,0.03936,1523,1501,0
1,7,0.99596,0.95948,0.03648,1462,1439,0
1,8,0.99885,0.95975,0.03910,1486,1463,0
1,9,1.00227,0.96153,0.04074,2071,2048,0
1,10,1.00625,0.96160,0.04466,1491,1468,0
1,11,1.00003,0.96053,0.03950,1957,1935,0
1,12,1.00634,0.96091,0.04542,1476,1453,0
1,13,1.00119,0.96140,0.03978,1543,1521,0
1,14,1.00167,0.96079,0.04087,1601,1579,0
1,15,1.00647,0.96394,0.04254,1463,1440,0
1,16,1.00449,0.96415,0.04034,1882,1860,0
1,17,1.01753,0.96601,0.05152,1813,1791,0
1,18,1.00483,0.96668,0.03814,1444,1422,0
1,19,1.00888,0.96842,0.04046,1531,1509,0
1,20,1.00544,0.96599,0.03945,1548,1526,0
1,21,1.01204,0.97392,0.03811,1759,1737,0
2,0,1.00664,0.96759,0.03905,9725,3010,6691
2,1,1.01076,0.97472,0.03604,1659,1637,0
2,2,1.02005,0.97467,0.04538,1869,1847,0
2,3,0.99789,0.96303,0.03487,1586,1564,0
2,4,1.00541,0.97217,0.03324,1509,1487,0
2,5,1.01154,0.97045,0.04110,1623,1601,0
2,6,1.01818,0.97418,0.04400,1510,1487,0
2,7,0.99750,0.96156,0.03594,1577,1555,0
2,8,1.00796,0.96470,0.04327,1586,1564,0
2,9,1.00349,0.96142,0.04207,1605,1582,0
2,10,0.99905,0.96063,0.03843,2024,2001,0
2,11,1.00070,0.96472,0.03598,1602,1580,0
2,12,1.00660,0.97097,0.03563,1664,1641,0
